Si (Silicon) - Palik

wavelength (microns), Im(eps)
0.15914, 2.12793
0.158889, 2.11518
0.158639, 2.10243
0.15839, 2.08968
0.158142, 2.07693
0.157895, 2.06418
0.157648, 2.05143
0.157402, 2.03868
0.157157, 2.02593
0.156913, 2.01318
0.156669, 2.00043
0.156426, 1.98768
0.156184, 1.97493
0.155943, 1.96218
0.155702, 1.94943
0.155462, 1.93668
0.155223, 1.92393
0.155, 1.912
0.154985, 1.91129
0.154747, 1.90025
0.15451, 1.8892
0.154274, 1.87816
0.154038, 1.86712
0.153804, 1.85608
0.153569, 1.84503
0.153336, 1.83399
0.153103, 1.82295
0.152872, 1.81191
0.15264, 1.80086
0.15241, 1.78982
0.15218, 1.77878
0.151951, 1.76774
0.151722, 1.7567
0.151494, 1.74565
0.151267, 1.73461
0.151041, 1.72357
0.150815, 1.71253
0.15059, 1.70148
0.150366, 1.69044
0.1503, 1.6872
0.150142, 1.68091
0.149919, 1.67201
0.149697, 1.66311
0.149475, 1.65421
0.149254, 1.6453
0.149033, 1.6364
0.148814, 1.6275
0.148594, 1.6186
0.148376, 1.6097
0.148158, 1.60079
0.147941, 1.59189
0.147724, 1.58299
0.147508, 1.57409
0.147293, 1.56519
0.147078, 1.55629
0.146864, 1.54738
0.146651, 1.53848
0.146438, 1.52958
0.146226, 1.52068
0.146014, 1.51178
0.1459, 1.50696
0.145803, 1.50335
0.145593, 1.4955
0.145383, 1.48765
0.145174, 1.47979
0.144965, 1.47194
0.144757, 1.46408
0.14455, 1.45623
0.144343, 1.44837
0.144137, 1.44052
0.143932, 1.43266
0.143727, 1.42481
0.143522, 1.41695
0.143318, 1.4091
0.143115, 1.40124
0.142912, 1.39339
0.14271, 1.38554
0.142509, 1.37768
0.142308, 1.36983
0.142107, 1.36197
0.141907, 1.35412
0.141708, 1.34626
0.1417, 1.34594
0.141509, 1.33987
0.141311, 1.33355
0.141114, 1.32722
0.140917, 1.3209
0.14072, 1.31457
0.140524, 1.30824
0.140329, 1.30192
0.140134, 1.29559
0.139939, 1.28926
0.139746, 1.28294
0.139552, 1.27661
0.13936, 1.27029
0.139168, 1.26396
0.138976, 1.25763
0.138785, 1.25131
0.138594, 1.24498
0.138404, 1.23866
0.138214, 1.23233
0.138025, 1.226
0.137837, 1.21968
0.1378, 1.21844
0.137649, 1.21384
0.137461, 1.20812
0.137274, 1.2024
0.137088, 1.19668
0.136902, 1.19096
0.136716, 1.18525
0.136531, 1.17953
0.136347, 1.17381
0.136163, 1.16809
0.135979, 1.16237
0.135796, 1.15665
0.135614, 1.15093
0.135432, 1.14521
0.13525, 1.13949
0.135069, 1.13378
0.134889, 1.12806
0.134709, 1.12234
0.134529, 1.11662
0.13435, 1.1109
0.134171, 1.10518
0.134, 1.09968
0.133993, 1.0995
0.133816, 1.09469
0.133638, 1.08989
0.133462, 1.08508
0.133285, 1.08028
0.133109, 1.07547
0.132934, 1.07067
0.132759, 1.06586
