SiO2 (Glass) - Palik

wavelength (microns), Im(eps)
0.159643, 1.32289e-05
0.159391, 1.42164e-05
0.15914, 1.52039e-05
0.159, 1.57544e-05
0.158889, 4.47614e-05
0.158639, 0.000110308
0.15839, 0.000175855
0.158142, 0.000241402
0.157895, 0.000306948
0.157648, 0.000372495
0.157402, 0.000438042
0.157157, 0.000503588
0.156913, 0.000569135
0.156669, 0.000634682
0.156426, 0.000700229
0.156184, 0.000765775
0.155943, 0.000831322
0.155702, 0.000896869
0.155462, 0.000962415
0.155223, 0.00102796
0.155, 0.00108928
0.154985, 0.00108393
0.154747, 0.00100093
0.15451, 0.000917928
0.154274, 0.000834929
0.154038, 0.000751931
0.153804, 0.000668932
0.153569, 0.000585933
0.153336, 0.000502935
0.153103, 0.000419936
0.1531, 0.000418704
0.152872, 0.000559449
0.15264, 0.000702315
0.15241, 0.000845181
0.15218, 0.000988048
0.151951, 0.00113091
0.151722, 0.00127378
0.151494, 0.00141665
0.151267, 0.00155951
0.1512, 0.00160198
0.151041, 0.00188948
0.150815, 0.0022986
0.15059, 0.00270771
0.150366, 0.00311683
0.150142, 0.00352594
0.149919, 0.00393506
0.149697, 0.00434417
0.149475, 0.00475329
0.1494, 0.0048916
0.149254, 0.00539724
0.149033, 0.00616113
0.148814, 0.00692503
0.148594, 0.00768892
0.148376, 0.00845282
0.148158, 0.00921672
0.147941, 0.00998061
0.147724, 0.0107445
0.1476, 0.0111838
0.147508, 0.0116468
0.147293, 0.0127363
0.147078, 0.0138258
0.146864, 0.0149153
0.146651, 0.0160048
0.146438, 0.0170942
0.146226, 0.0181837
0.146014, 0.0192732
0.1459, 0.0198626
0.145803, 0.0204456
0.145593, 0.0217157
0.145383, 0.0229857
0.145174, 0.0242557
0.144965, 0.0255258
0.144757, 0.0267958
0.14455, 0.0280659
0.144343, 0.0293359
0.1442, 0.0302183
0.144137, 0.0305681
0.143932, 0.031714
0.143727, 0.03286
0.143522, 0.0340059
0.143318, 0.0351519
0.143115, 0.0362978
0.142912, 0.0374438
0.14271, 0.0385897
0.142509, 0.0397357
0.1425, 0.039785
0.142308, 0.0408626
0.142107, 0.0419886
0.141907, 0.0431147
0.141708, 0.0442408
0.141509, 0.0453668
0.141311, 0.0464929
0.141114, 0.047619
0.140917, 0.048745
0.1409, 0.04884
0.14072, 0.0499188
0.140524, 0.0510969
0.140329, 0.052275
0.140134, 0.0534531
0.139939, 0.0546312
0.139746, 0.0558094
0.139552, 0.0569875
0.13936, 0.0581656
0.1393, 0.0585312
0.139168, 0.0597067
0.138976, 0.0614111
0.138785, 0.0631156
0.138594, 0.06482
0.138404, 0.0665244
0.138214, 0.0682288
0.138025, 0.0699333
0.137837, 0.0716377
0.1378, 0.0719712
0.137649, 0.073492
0.137461, 0.0753827
0.137274, 0.0772734
0.137088, 0.0791641
0.136902, 0.0810548
0.136716, 0.0829455
0.136531, 0.0848362
0.136347, 0.0867269
0.1362, 0.088236
0.136163, 0.0887209
0.135979, 0.091123
0.135796, 0.0935252
0.135614, 0.0959273
0.135432, 0.0983295
0.13525, 0.100732
0.135069, 0.103134
0.134889, 0.105536
0.1348, 0.10672
0.134709, 0.108483
0.134529, 0.11196
0.13435, 0.115437
0.134171, 0.118913
0.133993, 0.12239
0.133816, 0.125867
0.133638, 0.129344
0.133462, 0.13282
0.1333, 0.136007
0.133285, 0.136423
0.133109, 0.141405
0.132934, 0.146388
0.132759, 0.151371
0.132585, 0.156353
0.132411, 0.161336
0.132237, 0.166319
0.132064, 0.171301
0.1319, 0.176042
0.131892, 0.176389
0.131719, 0.183539
0.131548, 0.190688
0.131376, 0.197838
0.131206, 0.204988
0.131035, 0.212138
0.130865, 0.219287
0.130696, 0.226437
0.130527, 0.233587
0.1305, 0.234722
0.130358, 0.244236
0.13019, 0.255546
0.130022, 0.266856
0.129855, 0.278166
0.129688, 0.289476
0.129522, 0.300785
0.129356, 0.312095
0.12919, 0.323405
0.1291, 0.32956
0.129025, 0.340548
0.12886, 0.364653
0.128696, 0.388758
0.128532, 0.412864
0.128368, 0.436969
0.128205, 0.461075
0.128042, 0.48518
0.12788, 0.509286
0.1278, 0.52122
0.127718, 0.535683
0.127557, 0.564327
0.127396, 0.592971
0.127235, 0.621615
0.127075, 0.650259
0.126915, 0.678904
0.126756, 0.707548
0.126597, 0.736192
0.1265, 0.753648
0.126438, 0.769123
0.12628, 0.808745
0.126122, 0.848366
0.125965, 0.887987
0.125808, 0.927608
0.125651, 0.96723
0.125495, 1.00685
0.125339, 1.04647
0.1252, 1.08182
0.125183, 1.08767
0.125028, 1.14195
0.124873, 1.19623
0.124719, 1.25051
0.124565, 1.30478
0.124412, 1.35906
0.124258, 1.41334
0.124106, 1.46762
0.124, 1.50518
0.123953, 1.52997
0.123801, 1.61048
0.123649, 1.691
0.123498, 1.77151
0.123347, 1.85202
0.123196, 1.93254
0.123046, 2.01305
0.122896, 2.09356
0.1228, 2.14544
0.122747, 2.18823
0.122598, 2.30853
0.122449, 2.42884
0.122301, 2.54914
0.122153, 2.66945
0.122005, 2.78976
0.121858, 2.91006
0.121711, 3.03037
0.121564, 3.15068
0.1215, 3.2032
0.121418, 3.24967
0.121272, 3.33214
0.121126, 3.41461
0.121, 3.48624
0.120981, 3.49581
0.120836, 3.56861
0.120692, 3.64142
0.120547, 3.71422
0.120404, 3.78702
0.1204, 3.7888
0.12026, 3.84483
0.120117, 3.90227
0.119974, 3.95971
0.119832, 4.01715
0.1198, 4.0299
0.119689, 4.02528
0.119548, 4.01934
0.119406, 4.0134
0.119265, 4.00746
0.1192, 4.00472
0.119124, 3.96637
0.118984, 3.89511
0.118844, 3.82384
0.118704, 3.75258
0.1187, 3.7506
0.118564, 3.6894
0.118425, 3.62646
0.118286, 3.56351
0.118148, 3.50057
0.1181, 3.47874
0.11801, 3.41764
0.117872, 3.32411
0.117734, 3.23058
0.117597, 3.13704
0.11746, 3.04351
0.117324, 2.94998
0.117188, 2.85645
0.117052, 2.76291
0.117, 2.72738
0.116916, 2.68696
0.116781, 2.62178
0.116646, 2.55661
0.116511, 2.49143
0.116377, 2.42625
0.116243, 2.36107
0.116109, 2.29589
0.115975, 2.23072
0.1159, 2.19385
0.115842, 2.18175
0.115709, 2.15391
0.115577, 2.12606
0.115445, 2.09821
0.115313, 2.07036
0.115181, 2.04252
0.11505, 2.01467
0.114919, 1.98682
0.1148, 1.96153
0.114788, 1.96094
0.114658, 1.95444
0.114527, 1.94795
0.114398, 1.94145
0.114268, 1.93496
0.114139, 1.92847
0.11401, 1.92197
0.113881, 1.91548
0.113753, 1.90899
0.1137, 1.90631
0.113625, 1.91174
0.113497, 1.92096
0.113369, 1.93019
0.113242, 1.93942
0.113115, 1.94865
0.112989, 1.95788
0.112862, 1.96711
0.112736, 1.97633
0.1127, 1.97898
0.11261, 2.00353
0.112485, 2.03796
0.11236, 2.0724
0.112235, 2.10683
0.11211, 2.14126
0.111985, 2.17569
0.111861, 2.21012
0.111737, 2.24456
0.111614, 2.27899
0.111491, 2.31342
0.111368, 2.34785
0.111245, 2.38228
0.111122, 2.41672
0.111, 2.45115
0.110878, 2.48558
0.110756, 2.52001
0.1107, 2.53598
0.110635, 2.5442
0.110514, 2.55952
0.110393, 2.57484
0.110272, 2.59017
0.110152, 2.60549
0.110032, 2.62082
0.109912, 2.63614
0.109792, 2.65147
0.109673, 2.66679
0.109554, 2.68211
0.109435, 2.69744
0.109317, 2.71276
0.109198, 2.72809
0.10908, 2.74341
0.108962, 2.75874
0.108845, 2.77406
0.1088, 2.77992
0.108728, 2.78101
0.108611, 2.78277
0.108494, 2.78453
0.108377, 2.78629
0.108261, 2.78805
0.108145, 2.78981
0.108029, 2.79157
0.107914, 2.79333
0.107798, 2.79509
0.107683, 2.79685
0.107569, 2.79861
0.107454, 2.80037
0.10734, 2.80212
0.107226, 2.80388
0.107112, 2.80564
0.106998, 2.8074
0.1069, 2.80893
0.106885, 2.80817
0.106772, 2.80244
0.106659, 2.79672
0.106546, 2.791
0.106434, 2.78527
0.106322, 2.77955
0.10621, 2.77382
0.106098, 2.7681
0.105987, 2.76238
0.105876, 2.75665
0.105765, 2.75093
0.105654, 2.7452
0.105543, 2.73948
0.105433, 2.73376
0.105323, 2.72803
0.105213, 2.72231
0.105104, 2.71658
0.1051, 2.71639
0.104994, 2.7062
0.104885, 2.69565
0.104776, 2.68511
0.104668, 2.67456
0.104559, 2.66402
0.104451, 2.65347
0.104343, 2.64292
0.104235, 2.63238
0.104128, 2.62183
0.10402, 2.61128
0.103913, 2.60074
0.103806, 2.59019
0.1037, 2.57964
0.103593, 2.5691
0.103487, 2.55855
0.103381, 2.54801
0.1033, 2.53995
0.103275, 2.53743
0.103169, 2.52676
0.103064, 2.51609
0.102959, 2.50542
0.102854, 2.49475
0.102749, 2.48408
0.102645, 2.47342
0.10254, 2.46275
0.102436, 2.45208
0.102332, 2.44141
0.102229, 2.43074
0.102125, 2.42007
0.102022, 2.4094
0.101919, 2.39873
0.101816, 2.38806
0.101714, 2.37739
0.101611, 2.36672
0.101509, 2.35606
0.101407, 2.34539
0.101305, 2.33472
0.101204, 2.32405
0.1012, 2.32368
0.101102, 2.31746
0.101001, 2.31101
0.1009, 2.30457
0.100799, 2.29812
0.100699, 2.29167
0.100598, 2.28523
0.100498, 2.27878
0.100398, 2.27234
0.100298, 2.26589
0.100199, 2.25944
0.100099, 2.253
0.1, 2.24655
500, 0.0311236
250, 0.0272414
166.7, 0.0337732
125, 0.0466956
100, 0.0625506
40, 0.1932
36.36, 0.240464
33.33, 0.29614
30.77, 0.420256
28.57, 0.62088
26.67, 1.00973
25, 2.17477
23.81, 4.29811
22.73, 7.57488
21.74, 10.5706
21.28, 7.09352
21.05, 4.44888
20.83, 2.79632
20.41, 1.47891
20, 1.08767
19.61, 0.928214
19.23, 0.8715
18.97, 0.875394
18.52, 0.84227
17.86, 0.796852
17.24, 0.739728
16.67, 0.6815
16, 0.606808
15.38, 0.56602
14.81, 0.536928
14.29, 0.515902
13.79, 0.533172
13.33, 0.621624
13.16, 0.683136
12.99, 0.82174
12.82, 0.99605
12.66, 1.12349
12.5, 1.20256
12.35, 1.16008
12.2, 1.07107
12.05, 0.86241
11.9, 0.660552
11.76, 0.502208
11.63, 0.39208
11.36, 0.27652
11.11, 0.189143
10.81, 0.187496
10.53, 0.453696
10.26, 1.13098
10, 2.74249
9.756, 5.46224
9.524, 9.108
9.302, 10.17
9.174, 8.50016
9.091, 5.3193
9.009, 2.65408
8.929, 1.37085
8.85, 1.09028
8.772, 1.03356
8.696, 1.00831
8.621, 0.976482
8.547, 0.910714
8.475, 0.857128
8.403, 0.79464
8.333, 0.70932
8.265, 0.637824
8.197, 0.549783
8.13, 0.444612
8.065, 0.350645
8, 0.2657
7.937, 0.202046
7.874, 0.144038
7.813, 0.0957235
7.752, 0.0667108
7.692, 0.0574294
7.634, 0
7.576, 0
7.519, 0
7.463, 0
7.407, 0.0280845
7.353, 0
7.246, 0
7.143, 0.0223236
7.042, 0
6.944, 0
6.849, 0
6.757, 0
6.667, 0.016826
6.452, 0.0159257
6.25, 0.0161566
5.882, 0.0151826
5.556, 0.0147056
5, 0.0106823
4.545, 0.00069888
4.167, 0.000295962
3.846, 0.000138384
3.7067, 0
3.5564, 0
3.507, 0
3.422, 0
3.3026, 0
3.2668, 0
3.2439, 0
2.4374, 0
2.32542, 0
2.1526, 0
2.0581, 0
1.97009, 0
1.81307, 0
1.70913, 0
1.6932, 0
1.681, 0
1.6606, 0
1.52952, 0
1.4695, 0
1.39506, 0
1.3622, 0
1.12866, 0
1.08297, 0
1.01398, 0
0.89435, 0
0.852111, 0
0.706519, 0
0.667815, 0
0.656272, 0
0.643847, 0
0.589262, 0
0.587561, 0
0.579065, 0
0.576959, 0
0.546074, 0
0.508582, 0
0.486133, 0
0.467816, 0
0.435835, 0
0.404656, 0
0.365015, 0
0.361051, 0
0.34662, 0
0.340365, 0
0.334148, 0
0.330259, 0
0.30215, 0
0.296728, 0
0.28936, 0
0.280347, 0
0.275278, 0
0.269885, 0
0.265204, 0
0.248272, 0
0.239938, 0
0.237833, 0
0.230209, 0
0.226747, 0
0.214438, 0
0.213856, 0
0.2066, 0
0.1984, 0
0.1907, 0
0.1837, 0
0.1771, 0
0.1722, 0
0.1675, 0
0.1631, 0
0.159, 1.57544e-05
0.155, 0.00108928
0.1531, 0.000418704
0.1512, 0.00160198
0.1494, 0.0048916
0.1476, 0.0111838
0.1459, 0.0198626
