SiO2 (Glass) - Palik

wavelength (microns), Re(eps)
0.120981, 3.95487
0.120836, 3.80176
0.120692, 3.64865
0.120547, 3.49554
0.120404, 3.34242
0.1204, 3.33868
0.12026, 3.16237
0.120117, 2.98164
0.119974, 2.80092
0.119832, 2.62019
0.1198, 2.58006
0.119689, 2.4485
0.119548, 2.2794
0.119406, 2.11029
0.119265, 1.94119
0.1192, 1.86308
0.119124, 1.79417
0.118984, 1.66611
0.118844, 1.53805
0.118704, 1.40999
0.1187, 1.40643
0.118564, 1.36522
0.118425, 1.32284
0.118286, 1.28046
0.118148, 1.23809
0.1181, 1.22339
0.11801, 1.23699
0.117872, 1.25781
0.117734, 1.27864
0.117597, 1.29946
0.11746, 1.32029
0.117324, 1.34111
0.117188, 1.36193
0.117052, 1.38276
0.117, 1.39067
0.116916, 1.41891
0.116781, 1.46446
0.116646, 1.51002
0.116511, 1.55557
0.116377, 1.60112
0.116243, 1.64667
0.116109, 1.69223
0.115975, 1.73778
0.1159, 1.76354
0.115842, 1.78297
0.115709, 1.82769
0.115577, 1.87242
0.115445, 1.91714
0.115313, 1.96186
0.115181, 2.00658
0.11505, 2.05131
0.114919, 2.09603
0.1148, 2.13665
0.114788, 2.14086
0.114658, 2.18673
0.114527, 2.2326
0.114398, 2.27848
0.114268, 2.32435
0.114139, 2.37022
0.11401, 2.41609
0.113881, 2.46197
0.113753, 2.50784
0.1137, 2.52674
0.113625, 2.53971
0.113497, 2.56175
0.113369, 2.5838
0.113242, 2.60585
0.113115, 2.62789
0.112989, 2.64994
0.112862, 2.67199
0.112736, 2.69403
0.1127, 2.70036
0.11261, 2.69608
0.112485, 2.69007
0.11236, 2.68407
0.112235, 2.67807
0.11211, 2.67206
0.111985, 2.66606
0.111861, 2.66005
0.111737, 2.65405
0.111614, 2.64805
0.111491, 2.64204
0.111368, 2.63604
0.111245, 2.63003
0.111122, 2.62403
0.111, 2.61802
0.110878, 2.61202
0.110756, 2.60602
0.1107, 2.60323
0.110635, 2.59263
0.110514, 2.57286
0.110393, 2.55309
0.110272, 2.53333
0.110152, 2.51356
0.110032, 2.49379
0.109912, 2.47402
0.109792, 2.45426
0.109673, 2.43449
