Si (Silicon) - Palik

wavelength (microns), Re(eps)
0.256055, -12.36
0.255407, -12.1766
0.2551, -12.0893
0.254762, -11.9821
0.254121, -11.7775
0.2541, -11.7709
0.253483, -11.6217
0.253, -11.5046
0.252847, -11.4621
0.252215, -11.2857
0.252, -11.2254
0.251587, -11.1159
0.251, -10.9598
0.250961, -10.9495
0.250338, -10.7848
0.25, -10.695
0.249719, -10.6305
0.249102, -10.4886
0.249, -10.465
0.248489, -10.3524
0.248, -10.2443
0.247879, -10.2172
0.247271, -10.0812
0.247, -10.0203
0.246667, -9.95353
0.246065, -9.83254
0.246, -9.81939
0.245467, -9.71738
0.245, -9.62777
0.244871, -9.60157
0.244278, -9.48089
0.2441, -9.4445
0.243688, -9.38104
0.243101, -9.29018
0.2431, -9.29
0.242517, -9.19304
0.2422, -9.14013
0.241935, -9.10109
0.241357, -9.01538
0.2412, -8.99208
0.240781, -8.9468
0.2403, -8.89465
0.240208, -8.88441
0.239637, -8.82089
0.2394, -8.79437
0.23907, -8.77131
0.238505, -8.73174
0.2384, -8.7244
0.237942, -8.69573
0.2375, -8.66794
0.237382, -8.66574
0.236825, -8.65529
0.2366, -8.65105
0.236271, -8.65222
0.235719, -8.65417
0.2357, -8.65424
0.235169, -8.67145
0.2348, -8.68349
0.234623, -8.69643
0.234078, -8.73627
0.2339, -8.74937
0.233537, -8.78311
0.2331, -8.82381
0.232997, -8.83475
0.232461, -8.89219
0.2322, -8.92019
0.231926, -8.94885
0.231395, -9.00477
0.2313, -9.01475
0.230865, -9.05418
0.2305, -9.08742
0.230338, -9.10152
0.229814, -9.14738
0.2296, -9.16611
0.229291, -9.17718
0.2288, -9.19486
0.228772, -9.19557
0.228254, -9.20853
0.2279, -9.21744
0.227739, -9.21118
0.227226, -9.19117
0.2271, -9.18623
0.226716, -9.174
0.2263, -9.16072
0.226207, -9.15528
0.225702, -9.12544
0.2254, -9.1076
0.225198, -9.09345
0.224696, -9.05825
0.2246, -9.05146
0.224197, -9.0185
0.2238, -8.98589
0.2237, -8.97416
0.223205, -8.91588
0.223, -8.89163
0.222713, -8.86587
0.222222, -8.82176
0.2222, -8.81976
0.221734, -8.76372
0.2214, -8.72343
0.221248, -8.70966
0.220764, -8.66577
0.2206, -8.65088
0.220282, -8.61055
0.219802, -8.54953
0.2198, -8.54928
0.219324, -8.48593
0.2191, -8.45598
0.218849, -8.43849
0.218375, -8.40544
0.2183, -8.4002
0.217903, -8.34673
0.2175, -8.29214
0.217434, -8.2874
0.216966, -8.25378
0.2168, -8.24178
0.216501, -8.21444
0.216037, -8.17194
0.216, -8.1685
0.215576, -8.13268
0.2153, -8.1093
0.215116, -8.10085
0.214659, -8.07974
0.2145, -8.0724
0.214203, -8.0368
0.2138, -7.98834
0.213749, -7.98266
0.213297, -7.93196
0.213, -7.89846
0.212848, -7.89018
0.2124, -7.86578
0.2123, -7.86034
0.211953, -7.83824
0.2116, -7.81562
0.211509, -7.80563
0.211067, -7.75686
0.2109, -7.73843
0.210626, -7.73194
0.210187, -7.72152
0.2101, -7.71944
0.209751, -7.67709
0.2094, -7.63447
0.209315, -7.61703
0.208882, -7.52741
0.2087, -7.48961
0.208451, -7.51925
0.208021, -7.57051
0.208, -7.57302
0.207593, -7.53056
0.2073, -7.49989
0.207167, -7.60811
0.206742, -7.95402
0.2066, -7.44218
0.2066, -7.44218
0.20632, -7.44129
0.205899, -7.43995
0.205479, -7.4386
0.205062, -7.43726
0.204646, -7.43592
0.204232, -7.43458
0.203819, -7.43323
0.203408, -7.43189
0.202999, -7.43055
0.202592, -7.42921
0.202186, -7.42786
0.201781, -7.42652
0.201379, -7.42518
0.200978, -7.42384
0.200578, -7.42249
0.20018, -7.42115
0.199784, -7.41981
0.199389, -7.41846
0.198996, -7.41712
0.198604, -7.41578
0.1984, -7.41508
0.198214, -7.39931
0.197826, -7.36622
0.197439, -7.33312
0.197053, -7.30003
0.196669, -7.26694
0.196286, -7.23385
0.195905, -7.20076
0.195526, -7.16767
0.195148, -7.13458
0.194771, -7.10148
0.194396, -7.06839
0.194022, -7.0353
0.19365, -7.00221
0.193279, -6.96912
0.192909, -6.93603
0.192541, -6.90294
0.192175, -6.86984
0.191809, -6.83675
0.191445, -6.80366
0.191083, -6.77057
0.190722, -6.73748
0.1907, -6.73549
0.190362, -6.70516
0.190003, -6.67289
0.189646, -6.64063
0.189291, -6.60836
0.188936, -6.57609
0.188583, -6.54382
0.188231, -6.51156
0.187881, -6.47929
0.187532, -6.44702
0.187184, -6.41476
0.186837, -6.38249
0.186492, -6.35022
0.186148, -6.31795
0.185805, -6.28569
0.185464, -6.25342
0.185123, -6.22115
0.184784, -6.18888
0.184447, -6.15662
0.18411, -6.12435
0.183775, -6.09208
0.1837, -6.08486
0.183441, -6.0641
0.183108, -6.03736
0.182776, -6.01061
0.182446, -5.98387
0.182116, -5.95713
0.181788, -5.93038
0.181462, -5.90364
0.181136, -5.87689
0.180811, -5.85015
0.180488, -5.82341
